disease,symptom
C0022116, C0013144 C0008031 C0002962 C0438716 C0235710 C0392680 C0013404 C0232201 C0428977 C0038990 C0034642 C0231221 C0003123
C1623038, C0003962 C0085639 C0038002 C0033774 C0000737 C1269955 C0000731 C0221198 C0578150 C0744492 C0234233 C0151706
C0015230, C0015967 C0033774 C0332573 C0221198 C0332575 C0018681 C0277797 C0003862 C0038999 C0041834 C0085636 C0085593 C1384489 C0030193 C0221150
C0005001, C0856054 C0006625 C0312422 C0149746 C0085619 C0028081 C0476273 C0003123 C0013362
C0022660, C0020461 C0020649 C0020598 C0028961 C0578150 C0004093 C0020672 C0011991 C0019080 C0241526
C0026266, C0392680 C0231807 C0231221 C0086439 C0013404 C0039070 C0205400 C0238705 C0030252 C0015672 C0042963 C0030193 C0018800 C0235710
C0003864, C0030193 C0578150 C0917801 C0004093 C0039070 C0038999 C0741302 C0427108 C0392680 C0000731
C0006277, C0010200 C0043144 C0392680 C0232292 C0015967 C0242429 C0239134 C0019214 C0028081 C0019079 C0553668 C1260880 C0239133 C0013404 C0085593 C0038450 C0043096
C0018989, C0013362 C0030552 C0004093 C0221470 C0036572 C0234518 C0751495 C0018991 C0423571 C0241526 C0085628 C0013144 C0231890 C0271276 C0677500 C0522224 C0009024 C0427055
C0029456, C0242453 C0085639 C0019572 C0558361 C0000731 C0042571 C0239832 C0233565 C0030193 C0039070 C0848168 C0277797 C0150045 C0220870
C0007787, C0234518 C0013362 C0427055 C0004093 C0151315 C0042571 C0028643 C0220870 C0234133 C0271276 C0344232 C0018681 C0848277 C0039070 C1299586 C0423982 C0233844
C0001418, C0577559 C0221198 C0043096 C0009806 C0231890 C0278014 C0239233 C0018932 C0231872 C0030193 C0008767 C0000737
C1456784, C0233762 C0233763 C0085631 C0022107 C0424068 C0424000 C0438696 C0558261 C0233647 C0237154 C0455769 C0344315 C0231187 C0008767 C0312422 C0240233
C0030305, C0042963 C0000737 C0027497 C0030193 C0011991 C0241252 C0424790 C0277797 C0234233
C0021167, C0221166 C0036572 C0004093 C0150045 C0041657 C0236018 C0554980 C0877040 C0040822 C0037763 C0847488 C0039070 C0085639 C0427008 C0241526
C0013405, C0085619 C0392680 C0231807 C0240100 C0034642 C0008031 C0030252 C0038990 C0043094 C0010200 C0013404
C0019270, C0000737 C0030193 C0020578 C0278141 C0016927 C0027497 C0872410 C0018991 C0234233 C0019080 C0277797 C0149696 C0277899 C0004093 C0577559 C0205400
C0376358, C0018965 C0392699 C0004093 C0521516 C0848621 C0008033 C0744492 C0034642 C0238844 C0150045 C0013428 C0011991 C0042571 C0151878 C0004134 C0030552 C0271202 C1269955 C0578150 C0577559 C0035508 C0149746 C0043096
C0034063, C0085606 C0392680 C0034642 C0231835 C0085619 C0018862 C0240100 C0013404 C0038990 C0376405 C0235710 C0020461 C0232201 C0008031 C0020649 C0043144
C0024228, C0030193 C0577559 C0028081 C0038002 C0221198 C0085593 C0043096 C0038999 C0015967 C0034880 C0231890 C0850149 C0231872 C0332575 C0019209 C0015672
C0003507, C0231807 C0039070 C0235710 C0232257 C0036396 C0002962 C0008031 C0577979 C0428977 C0392680 C0030193
C0006142, C0024103 C0577559 C0030554 C0277845 C0041834 C1299586 C0221198 C0239301 C0085624 C0013404 C0038999 C0016579
C0036341, C0233762 C0751229 C0022107 C0424068 C0376405 C0085631 C0438696 C0233481 C0233763 C0041667 C0237154
C0012813, C0000737 C0549483 C0541911 C0857199 C0011991 C0234233 C0013428 C0030193 C0042963 C0232201 C0232488 C0277797 C0232498 C0015967 C1273573 C0205400 C0085606 C0003123 C0746619 C0009806
C0546817, C0034642 C0240100 C0020461 C0085619 C0392680 C0013144 C0043094 C0020621 C0020649 C0038999 C0000731
C0030920, C0000737 C0221166 C0027497 C0042963 C0521516 C0848168 C0008031 C0018991 C0232517 C0020175 C0277797 C0027769
C0029443, C0030193 C0332575 C0240813 C0015967 C0241705 C0234233 C0038999 C0277797 C0041834 C0549483 C0016512 C0152032
C0017152, C0744740 C0000737 C0042963 C0281825 C0027497 C0728899 C0019080 C0744492 C0030193 C0043096 C0234233 C0012833
C0004610, C0015967 C0085593 C0016382 C0241526 C0085632 C1313921 C0042963 C0000731 C0239981 C0241157 C0242453 C0011991 C0232498 C0008033 C0029053 C0030232
C0035078, C0085619 C0028961 C0232854 C0277794 C0241526 C0020649 C0014394 C0392680 C0019080 C0242453 C0442739 C0425251 C0015672
C0002895, C1135120 C0004604 C0030193 C0392680 C1260880 C0008031 C0000737 C0019214 C0457097 C0277797 C0018681
C0018801, C0085619 C0015672 C0231807 C0013404 C0392680 C0232258 C0240100 C0694547 C0020649 C0002962 C0086439
C0041912, C0010200 C0242429 C0043144 C0392680 C0553668 C0015967 C0848340 C0850149 C1260880 C0085632 C0231872 C0234866 C0521516 C0008033 C0028081 C0013404 C0239134 C0029053 C0035508 C0425488 C0277797 C0237304 C0264273 C0743482 C0871754 C1511606 C0436331 C0578150
C0019158, C0003962 C0233308 C0231835 C0000737 C0033774 C0003123 C1096646 C0221151 C0085593 C0476273 C0015967 C0042963
C0020542, C0392680 C0271276 C0581911 C0238844 C0151315 C0231807 C0010520 C0020649 C0238705
C0011168, C0030554 C0231690 C0013362 C0221150 C0019825 C0038450 C0037763 C0004093 C0234979 C0004134 C1321756 C0043096 C0427008 C0221198 C0748706
C0018099, C0600142 C0030193 C0332575 C0038999 C0041834 C0743482 C0234233 C0086439 C0003962 C0376405
C0040034, C0013491 C0085702 C0032781 C0019080 C0231835 C0015967 C0033774 C0020649 C0015672
C0020615, C0241526 C0020672 C0542044 C0151878 C0311395 C0041657 C0392162 C0032617 C0476273 C0020649
C0032290, C0264576 C0015967 C0009024 C0856054 C0029053 C0241526 C0277794 C0085628 C0036572 C1096646 C0018991 C0010200 C0232517 C0030193 C0011991 C0000737
C0009319, C0015967 C0205400 C0457097 C0042963 C0027498 C0541798 C0030193 C0027497 C0085593 C0232726 C0150045 C0000737 C0578150
C1510475, C1167754 C0009806 C0549483 C0744740 C0220870 C0011991 C0019080 C0030193 C0221151 C0232894 C1511606 C0003123 C0027497 C0424000 C0150041
C0038663, C0233762 C0917801 C0438696 C0424230 C0424109 C0235198 C0234544 C0233481 C0015672 C0040822 C0740880 C0085631 C0241526 C0312422 C0424092 C1299586 C0022107 C0234215 C0013144 C0016579 C0041657 C0015967 C0010200
C0032305, C0457096 C0006625 C0085593 C0043096 C0239134 C0231528 C0011991 C0151315 C0239133 C1384606 C0020621 C0231807 C0149758 C1096646 C0850149 C0018681 C0857516 C0233308
C0019163, C0233467 C0231835 C0457096 C0221151 C0576456 C0000737 C0232498 C0558195 C0859032
